number,value,params_D,params_P,params_Q,params_d,params_m,params_p,params_q
0,120.27059393189451,0,0,0,1,28,5,5
1,85.13085250404757,0,0,1,2,19,7,2
2,195.62470247583443,0,1,0,0,25,0,0
3,567.7610964403434,1,0,1,0,15,10,8
4,86.26725689673812,0,0,1,1,29,9,5
5,132.49392380953338,0,2,0,1,7,2,10
6,100.92474310526521,0,1,2,2,23,10,8
7,99.16472235108293,1,0,2,2,8,5,3
8,inf,1,2,2,0,7,8,3
9,716.402611219311,1,1,2,0,21,3,1
10,80.5648556143693,0,1,1,2,15,7,2
11,132.23982191799942,0,1,1,2,14,7,2
12,103.32056961198077,0,2,1,2,15,6,3
13,116.37760708205327,0,0,1,2,18,7,0
14,113.27114413557464,0,1,1,1,12,4,5
15,81.40647464270876,0,1,1,2,19,8,2
16,113.44394923565197,0,1,0,1,18,8,4
17,89.11561881581206,1,2,1,2,12,9,7
18,86.46637703500322,0,1,2,2,25,6,1
19,83.39276077340855,0,1,0,2,11,8,1
